guid,nyu.libraries.collection,dc.title,dc.identifier,dc.source,dc.language,dc.extent,dc.extent,dc.coverage.temporal,dc.coverage.temporal,dc.accrualPeriodicity,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.jurisdiction
aggregatedNewspapers60,AggregatedNewspapers,"Asbury Park Press",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers61,AggregatedNewspapers,"Ashcroft Cache Creek Journal",,"Access World News",,,"Full-text: electronic edition of record of publication",06/01/2004,,,,,,,
aggregatedNewspapers62,AggregatedNewspapers,"Asheville Citizen-Times",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers63,AggregatedNewspapers,"Asia in Focus",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers64,AggregatedNewspapers,"Asia Pulse",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers65,AggregatedNewspapers,"Asian Age, The",,"Access World News",,"BBC","Full-text: selected articles",11/21/1999,,,,,,,
aggregatedNewspapers66,AggregatedNewspapers,"Asian News International",,"Access World News",,,"Full-text: electronic edition of record of publication",11/07/2004,,,,,,,
aggregatedNewspapers67,AggregatedNewspapers,"Atherton Tablelander, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",09/13/1999,,,,,,,
aggregatedNewspapers68,AggregatedNewspapers,"Atlanta Journal-Constitution, The",,"Access World News",,,,01/01/1985,,,,,,,
aggregatedNewspapers69,AggregatedNewspapers,"Atwater Signal, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers70,AggregatedNewspapers,"Augusta Chronicle, The",,"Access World News",,,,01/01/1994,,,,,,,
aggregatedNewspapers71,AggregatedNewspapers,"Austin American-Statesman",,"Access World News",,,,01/01/1989,,,,,,,
aggregatedNewspapers72,AggregatedNewspapers,"Australian Magazine, The ",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers73,AggregatedNewspapers,"Australian, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers74,AggregatedNewspapers,"Avenal Progress",,"Access World News",,,,05/06/2003,,,,,,,
aggregatedNewspapers75,AggregatedNewspapers,"Ayr Advocate",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",09/13/1999,,,,,,,
aggregatedNewspapers76,AggregatedNewspapers,"Bakersfield Californian, The",,"Access World News",,,,02/01/2003,,,,,,,
aggregatedNewspapers77,AggregatedNewspapers,"Bangkok Post",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",07/27/2001,,,,,,,
aggregatedNewspapers78,AggregatedNewspapers,"Bangor Daily News",,"Access World News",,,,01/01/1992,,,,,,,
aggregatedNewspapers79,AggregatedNewspapers,"Banjarmasin Post",,"Access World News",,"BBC","Full-text: selected articles",05/08/2000,,,,,,,
aggregatedNewspapers80,AggregatedNewspapers,"Banker, The",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",04/01/2005,,,,,,,
aggregatedNewspapers81,AggregatedNewspapers,"Barrie Advance, The",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers82,AggregatedNewspapers,"Battle Creek Enquirer",,"Access World News",,,,05/01/2002,,,,,,,
aggregatedNewspapers83,AggregatedNewspapers,"Baxter Bulletin, The",,"Access World News",,,,09/18/2003,,,,,,,
aggregatedNewspapers84,AggregatedNewspapers,"Bay City Times, The",,"Access World News",,,,09/10/2004,,,,,,,
aggregatedNewspapers85,AggregatedNewspapers,"Bay City Tribune, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers86,AggregatedNewspapers,"Baytown Sun, The",,"Access World News",,,,04/01/2001,,,,,,,
aggregatedNewspapers87,AggregatedNewspapers,"BBC Archive",,"Access World News",,,"Full-text: electronic edition of record of publication",01/01/1997,,,,,,,
aggregatedNewspapers88,AggregatedNewspapers,"BC Senior",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers89,AggregatedNewspapers,"Beach/Riverdale Mirror",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers90,AggregatedNewspapers,"Beacon News, The",,"Access World News",,,,01/01/1997,,,,,,,
aggregatedNewspapers91,AggregatedNewspapers,"Beaumont Enterprise, The",,"Access World News",,,,01/01/2000,,,,,,,
aggregatedNewspapers92,AggregatedNewspapers,"Beaver County Times",,"Access World News",,,,,,,,,,,
aggregatedNewspapers93,AggregatedNewspapers,"Belfast Telegraph",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",03/01/2002,,,,,,,
aggregatedNewspapers94,AggregatedNewspapers,"Belleville News-Democrat",,"Access World News",,,,10/01/2000,,,,,,,
aggregatedNewspapers95,AggregatedNewspapers,"Bellingham Herald, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers96,AggregatedNewspapers,"Bennington Banner",,"Access World News",,,,12/18/2003,,,,,,,
aggregatedNewspapers97,AggregatedNewspapers,"Berita Harian",,"Access World News",,"BBC","Full-text: selected articles",09/22/1997,,,,,,,
aggregatedNewspapers98,AggregatedNewspapers,"Berkeley Voice",,"Access World News",,,,11/02/2001,,,,,,,
aggregatedNewspapers99,AggregatedNewspapers,"Berkshire Eagle, The",,"Access World News",,,,12/31/2003,,,,,,,
aggregatedNewspapers100,AggregatedNewspapers,"Bernama: The Malaysian National News Agency",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",06/30/2004,,,,,,,
aggregatedNewspapers101,AggregatedNewspapers,"Bild am Sonntag",,"Access World News",,"BBC","Full-text: selected articles",09/22/1997,,,,,,,
aggregatedNewspapers102,AggregatedNewspapers,"Billings Gazette",,"Access World News",,,,,,,,,,,
aggregatedNewspapers103,AggregatedNewspapers,"Birmingham News",,"Access World News",,,,04/27/1993,,,,,,,
aggregatedNewspapers104,AggregatedNewspapers,"Birmingham Post, The",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers105,AggregatedNewspapers,"Bismarck Tribune, The",,"Access World News",,,,01/01/1993,,,,,,,
aggregatedNewspapers106,AggregatedNewspapers,"Bisnis Indonesia",,"Access World News",,"BBC","Full-text: selected articles",02/01/2001,,,,,,,
aggregatedNewspapers107,AggregatedNewspapers,"Blacktown Advocate",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers108,AggregatedNewspapers,"Blade, The",,"Access World News",,,,01/01/1996,,,,,,,
aggregatedNewspapers109,AggregatedNewspapers,"Bladen Journal",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers110,AggregatedNewspapers,"Blairsville Dispatch",,"Access World News",,,,03/04/2005,,,,,,,
aggregatedNewspapers111,AggregatedNewspapers,"Bloor West Villager",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers112,AggregatedNewspapers,"Blue Mountain Eagle",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers113,AggregatedNewspapers,"Bluffton Today",,"Access World News",,,,07/01/1999,,,,,,,
aggregatedNewspapers114,AggregatedNewspapers,"Bobcaygeon Independent",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers115,AggregatedNewspapers,"Boca Raton News",,"Access World News",,,,03/02/2006,,,,,,,
aggregatedNewspapers116,AggregatedNewspapers,"Bonita Daily News",,"Access World News",,,,05/17/2006,,,,,,,
aggregatedNewspapers117,AggregatedNewspapers,"Borneo Bulletin",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",12/23/2002,,,,,,,
aggregatedNewspapers118,AggregatedNewspapers,"Boston Globe, The",,"Access World News",,,,12/12/1979,,,,,,,
aggregatedNewspapers119,AggregatedNewspapers,"Boston Herald",,"Access World News",,,,07/26/1991,,,,,,,
aggregatedNewspapers120,AggregatedNewspapers,"Bowen Independent",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",11/24/2004,,,,,,,
aggregatedNewspapers121,AggregatedNewspapers,"Bowen Island Undercurrent",,"Access World News",,,"Full-text: electronic edition of record of publication",05/28/2004,,,,,,,
aggregatedNewspapers122,AggregatedNewspapers,"Bozeman Daily Chronicle",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers123,AggregatedNewspapers,"Bradenton Herald, The",,"Access World News",,,,08/01/1989,,,,,,,
aggregatedNewspapers124,AggregatedNewspapers,"Brampton Guardian",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers125,AggregatedNewspapers,"Brand Strategy",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",04/05/2005,,,,,,,
aggregatedNewspapers126,AggregatedNewspapers,"Brattleboro Reformer",,"Access World News",,,,10/21/2003,,,,,,,
aggregatedNewspapers127,AggregatedNewspapers,"Brazos Sports",,"Access World News",,,,06/24/2005,,,,,,,
aggregatedNewspapers128,AggregatedNewspapers,"Brazosport Facts, The",,"Access World News",,,,09/01/2001,,,,,,,
aggregatedNewspapers129,AggregatedNewspapers,"Breeze Courier",,"Access World News",,,,07/03/2000,,,,,,,
aggregatedNewspapers130,AggregatedNewspapers,"Brisbane City News",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers131,AggregatedNewspapers,"Brisbane News",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/26/2000,,,,,,,
aggregatedNewspapers132,AggregatedNewspapers,"Bristol Evening Post",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",06/10/1999,,,,,,,
aggregatedNewspapers133,AggregatedNewspapers,"Brock Citizen",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers134,AggregatedNewspapers,"Brownsville Herald, The",,"Access World News",,,,,,,,,,,
aggregatedNewspapers135,AggregatedNewspapers,"Brush News Tribune",,"Access World News",,,,07/08/2002,,,,,,,
aggregatedNewspapers136,AggregatedNewspapers,"BT Extra",,"Access World News",,,,01/05/2006,,,,,,,
aggregatedNewspapers137,AggregatedNewspapers,"Buckinghamshire County Publications",,"Access World News",,,"Full-text: selected articles",01/17/1998,,,,,,,
aggregatedNewspapers138,AggregatedNewspapers,"Bucks County Courier Times",,"Access World News",,,,11/01/2002,,,,,,,
aggregatedNewspapers139,AggregatedNewspapers,"Budapest Business Journal",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",04/04/2005,,,,,,,
aggregatedNewspapers140,AggregatedNewspapers,"Budapest Sun, The",,"Access World News",,,"Full-text: electronic edition of record of publication",01/08/2004,,,,,,,
aggregatedNewspapers141,AggregatedNewspapers,"Buffalo News, The",,"Access World News",,,,01/01/1989,,,,,,,
aggregatedNewspapers142,AggregatedNewspapers,"Bulletin Wire",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",08/02/2005,,,,,,,
aggregatedNewspapers143,AggregatedNewspapers,"Bulletin, The",,"Access World News",,,,07/01/2005,,,,,,,
aggregatedNewspapers144,AggregatedNewspapers,"Bureau County Republican",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers145,AggregatedNewspapers,"Burlington County Times",,"Access World News",,,,12/11/2002,,,,,,,
aggregatedNewspapers146,AggregatedNewspapers,"Burlington Free Press, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers147,AggregatedNewspapers,"Burlington Post, The",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers148,AggregatedNewspapers,"Burnaby News Leader",,"Access World News",,,"Full-text: electronic edition of record of publication",05/21/2004,,,,,,,
aggregatedNewspapers149,AggregatedNewspapers,"Burnley Express",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",09/03/2004,,,,,,,
aggregatedNewspapers150,AggregatedNewspapers,"Business and Finance",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",04/07/2005,,,,,,,
aggregatedNewspapers151,AggregatedNewspapers,"Business Examiner",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers152,AggregatedNewspapers,"Business Examiner - North",,"Access World News",,,"Full-text: electronic edition of record of publication",09/08/2004,,,,,,,
aggregatedNewspapers153,AggregatedNewspapers,"Business Examiner - South",,"Access World News",,,"Full-text: electronic edition of record of publication",09/01/2004,,,,,,,
aggregatedNewspapers154,AggregatedNewspapers,"Business Line",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",04/02/2005,,,,,,,
aggregatedNewspapers155,AggregatedNewspapers,"Business Times",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",04/30/2002,,,,,,,
aggregatedNewspapers156,AggregatedNewspapers,"Business Times",,"Access World News",,,"Full-text: electronic edition of record of publication",05/01/2002,,,,,,,
aggregatedNewspapers157,AggregatedNewspapers,"Business Today",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",04/24/2005,,,,,,,
aggregatedNewspapers158,AggregatedNewspapers,"Business World",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",12/20/2002,,,,,,,
aggregatedNewspapers159,AggregatedNewspapers,"Butler Eagle",,"Access World News",,,,09/06/2005,,,,,,,
aggregatedNewspapers160,AggregatedNewspapers,"Caboolture Shire Herald",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers161,AggregatedNewspapers,"Cairns Post, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",09/13/1999,,,,,,,
aggregatedNewspapers162,AggregatedNewspapers,"Cairns Sun, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",09/13/1999,,,,,,,
aggregatedNewspapers163,AggregatedNewspapers,"Cairns Weekend Post, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",07/30/2005,,,,,,,
aggregatedNewspapers164,AggregatedNewspapers,"Caledon Enterprise",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers165,AggregatedNewspapers,"Caledonia Courier",,"Access World News",,,"Full-text: electronic edition of record of publication",05/20/2004,,,,,,,
aggregatedNewspapers166,AggregatedNewspapers,"Californian, The",,"Access World News",,,,06/10/2002,,,,,,,
aggregatedNewspapers167,AggregatedNewspapers,"Cambrian, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers168,AggregatedNewspapers,"Cambridge Reporter",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers169,AggregatedNewspapers,"Cambridge Times",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers170,AggregatedNewspapers,"Campaign",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",04/01/2005,,,,,,,
aggregatedNewspapers171,AggregatedNewspapers,"Campbell River Mirror",,"Access World News",,,"Full-text: electronic edition of record of publication",05/19/2004,,,,,,,
aggregatedNewspapers172,AggregatedNewspapers,"Canada Newswire",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers173,AggregatedNewspapers,"Canada Newswire (French version)",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers174,AggregatedNewspapers,"Canadian Statesman, The",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers175,AggregatedNewspapers,"Canberra Times",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",01/01/2003,,,,,,,
aggregatedNewspapers176,AggregatedNewspapers,"Canterbury Express",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers177,AggregatedNewspapers,"Cape Cod Chronicle, The",,"Access World News",,,,01/18/2001,,,,,,,
aggregatedNewspapers178,AggregatedNewspapers,"Cape Cod Times",,"Access World News",,,,11/01/1998,,,,,,,
aggregatedNewspapers179,AggregatedNewspapers,"Capital Press",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers180,AggregatedNewspapers,"Capital Times, The",,"Access World News",,,,03/01/1989,,,,,,,
aggregatedNewspapers181,AggregatedNewspapers,"Capital, The",,"Access World News",,,,01/01/2002,,,,,,,
aggregatedNewspapers182,AggregatedNewspapers,"Caribbean Media Corporation News Agency",,"Access World News",,"BBC","Full-text: selected articles",09/06/2001,,,,,,,
aggregatedNewspapers183,AggregatedNewspapers,"Carlsbad Current-Argus",,"Access World News",,,,01/28/2005,,,,,,,
aggregatedNewspapers184,AggregatedNewspapers,"Carroll News, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers185,AggregatedNewspapers,"Carthage Republican Tribune",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers186,AggregatedNewspapers,"Castlegar News",,"Access World News",,,"Full-text: electronic edition of record of publication",08/04/2004,,,,,,,
aggregatedNewspapers187,AggregatedNewspapers,"CCNMatthews",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers188,AggregatedNewspapers,"CCNMatthews (French version)",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers189,AggregatedNewspapers,"Cedarburg News Graphic",,"Access World News",,,,07/13/2000,,,,,,,
aggregatedNewspapers190,AggregatedNewspapers,"Central Coast Express Advocate",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers191,AggregatedNewspapers,"Central Coast Herald",,"Access World News",,,"Full-text: electronic edition of record of publication",04/27/2004,,,,,,,
aggregatedNewspapers192,AggregatedNewspapers,"Central Coast Sun Bulletin",,"Access World News",,,,10/19/2006,,,,,,,
aggregatedNewspapers193,AggregatedNewspapers,"Central Wisconsin Sunday",,"Access World News",,,,05/04/2003,,,,,,,
aggregatedNewspapers194,AggregatedNewspapers,"Centralian Advocate",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",07/04/2000,,,,,,,
aggregatedNewspapers195,AggregatedNewspapers,"Centre Daily Times",,"Access World News",,,,09/28/1995,,,,,,,
aggregatedNewspapers196,AggregatedNewspapers,"Chanute Tribune, The",,"Access World News",,,,03/28/1996,,,,,,,
aggregatedNewspapers197,AggregatedNewspapers,"Chapel Hill Herald",,"Access World News",,,,01/01/1995,,,,,,,
aggregatedNewspapers198,AggregatedNewspapers,"Chapel Hill News",,"Access World News",,,,05/01/2000,,,,,,,
aggregatedNewspapers199,AggregatedNewspapers,"Charleston Daily Mail",,"Access World News",,,,01/01/1996,,,,,,,
aggregatedNewspapers200,AggregatedNewspapers,"Charleston Gazette",,"Access World News",,,,12/31/1996,,,,,,,
aggregatedNewspapers201,AggregatedNewspapers,"Charlotte Observer, The",,"Access World News",,,,01/01/1985,,,,,,,
aggregatedNewspapers202,AggregatedNewspapers,"Charlotte Sun",,"Access World News",,,,01/01/1996,,,,,,,
aggregatedNewspapers203,AggregatedNewspapers,"Chattanooga Times/Free Press",,"Access World News",,,,,,,,,,,
aggregatedNewspapers204,AggregatedNewspapers,"Cheraw Chronicle, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers205,AggregatedNewspapers,"Cheshire, Greater Manchester, and Merseyside Counties Publications",,"Access World News",,,"Full-text: selected articles",06/10/1996,,,,,,,
aggregatedNewspapers206,AggregatedNewspapers,"Chicago Sun-Times",,"Access World News",,,,01/01/1986,,,,,,,
aggregatedNewspapers207,AggregatedNewspapers,"Chicago Tribune",,"Access World News",,,,01/01/1985,,,,,,,
aggregatedNewspapers208,AggregatedNewspapers,"Chicago Tribune RedEye Edition",,"Access World News",,,,10/25/2002,,,,,,,
aggregatedNewspapers209,AggregatedNewspapers,"Chico Enterprise-Record",,"Access World News",,,,10/07/1999,,,,,,,
