guid,nyu.libraries.collection,dc.title,dc.identifier,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.controlled,dc.description
dataServices028,DataServices,"County and city data book, 1944 through 2000 (University of Virginia Library)",http://fisher.lib.virginia.edu/collections/stats/ccdb/,Demographics,,,,,,Population & Demography,This resource provides access to the 1944 through 2000 County and City Data Books. This service provides the opportunity to create custom printouts and/or customized data subsets (subsets only available for 1988-2000).
dataServices029,DataServices,Consumer Price Index (CPI) Detailed Report,http://www.bls.gov/cpi/,Consumer Price Index,Economic Indicators,,,,,Business & Economics (US),"A monthly report covering consumer price movements. The data is separated into the Consumer Price Index for All Urban Consumers and for Wage Earners and Clerical Workers, reflecting data for U.S. city averages and selected areas. Covers the prices of the necessities of daily life--food, shelter, clothing, transportation, etc."
dataServices030,DataServices,Cultural Policy and the Arts National Data Archive (CPANDA),http://www.cpanda.org/,Arts,Cultural Policy,,,,,Art,"CPANDA provides public access to data sets on art and cultural policy.  Some of the data is longitudinal and some is cross-sectional.  Topics that are addressed included public perceptions of art, the socio-economic experiences of artists themselves, biographical information on trustees of large nonprofit organizations, classical music and local orchestras, role of museums, the Brooklyn Museum of Art controversy of 1999, and culture and creativity in communities."
dataServices031,DataServices,Datastream,,Economic Indicators,Financial Markets,Company Info,Economic Indicators,Finance,Securities,Business & Economics (Intl),"Datastream provides data on the financial markets of the world: comprehensive company data, foreign stock and bond indices, an time series from the IMF and OECD. Updated daily and in many cases, historical data available for the past 20-25 years. **This resource is only accessible in Bobst Library. To use this resource, stop by the 5th floor Reference Center."
dataServices032,DataServices,"Digital Sanborn maps: New York, 1867-1970",https://ezproxy.library.nyu.edu/login?url=http://sanborn.umi.com/,"Insurance, Fire -- New York (State) -- Maps. ",Surveys -- New York (State) -- Maps. ,New York (State) -- Maps. ,,,,Geographic Information Systems,"Digital Sanborn Maps is a collection of large-scale landbook maps which include information such as building outlines, size, shape, height, and construction materials, function of structures, and locations of windows and doors. The maps also give street names, street and sidewalk widths, property boundaries, and house and block numbers. Textual information includes construction details, ownership and building use. Includes most of the fire insurance maps of New York State produced by the Sanborn Map Company from the mid-1880s to around 1950. The black and white digital images were produced from microform of the Sanborn maps in the Library of Congress collection. Digital collection is searchable by city and date."
dataServices034,DataServices,DOIIT New York City Department of Information Technology and Telecommunications GIS Data,http://www.nyc.gov/html/doitt/html/eservices/eservices_gis.shtml,Telecommunications,,,,,,Science & Technology,"GIS data for New York City including building footprints, hydrography, open space, and transportation maps. Provided by the New York City Department of Information Technology and Telecommunications (DoITT)."
dataServices035,DataServices,Early Childhood Atlas,http://www.earlychildhood.msstate.edu/atlas/,Education,Child Care,Demograhic Characteristics,,,,Area & Cultural Studies,"The Early Childhood Atlas, developed by the National Center for Rural Early Childhood Learning Initiatives at the Early Childhood Institute of Mississippi State University and the Rural Policy Research Institute, offers a set of easy-to-use online tools to access early childhood data across the 50 states, and counties and municipalities within states. Includes a map-making tool."
dataServices036,DataServices,Economic Census,http://www.census.gov/econ/census07/,Economy,Business,,,,,Business & Economics (US),"The Economic Census from the US Census Bureau provides a detailed portrait of the US economy once every five years, from the national to the local level.  Data is available at the industry and geographic level, and the survey of business owners is included."
dataServices037,DataServices,Economic Indicators (GPO),http://www.gpoaccess.gov/indicators/index.html,Economic Indicators,,,,,,Business & Economics (US),Includes tables and charts of basic economic indicators from the Government Printing Office (GPO). The data is generally quoted for about 8 or 9 years and then quarterly for the most recent 3 years.
dataServices038,DataServices,Education and Training Statistics for the United Kingdom,http://www.dfes.gov.uk/rsgateway/DB/VOL/v000431/index.shtml,Education,,,,,,Education,"An integrated overview of statistics on education and training in the UK, in some 60 tables. Chapters relate to expenditure; schools; post-compulsory education and training; qualifications; destinations; population, and international comparisons"
dataServices039,DataServices,Education Trends in Perspective: Analysis of the World Education Indicators,http://www.uis.unesco.org/ev.php?ID=6192_201&ID2=DO_TOPIC,Education,International Education,,,,,Education,"Includes 19 middle-income countries comprising over 50 per cent of the world population. By analysing trends in WEI countries between 1995 and 2003 and comparing them to OECD countries, this volume examines the factors which can generate growth in education in one country and constrain it in another. The countries participating in WEI include: Argentina, Brazil, Chile, China, Egypt, India, Indonesia, Jamaica, Jordan, Malaysia, Paraguay, Peru, the Philippines, the Russian Federation, Sri Lanka, Thailand, Tunisia, Uruguay and Zimbabwe. This site contains statistical tables, which were published in the report, in an electronic format (EXCEL), along with data tables complementing the presented tables, such as data by gender or additional age groups and teacher salaries as percentage of GDP. There is also a link to the full set of questionnaires used to gather the education data for this publication."
dataServices040,DataServices,EIU City Data,https://arch.library.nyu.edu/databases/proxy/NYU02705,Economic Indicators,,,Economic Indicators,Cities,,Business & Economics (Intl),A global database of product prices and business costs providing over 330 price levels on more than 160 products and services in 123 cities worldwide from 1990 to the present. 
dataServices041,DataServices,EIU Country Data,https://arch.library.nyu.edu/databases/proxy/NYU02713,Economic Indicators,,,Economic Indicators,,,Business & Economics (Intl),"More than 280 economic series, over 1 million individual data points, from 1980 onwards. The service contains concise summaries of our short-term political and economic forecasts on 181 countries."
dataServices042,DataServices,EIU Country Forecast,https://arch.library.nyu.edu/databases/proxy/NYU02709,Economic Indicators,Forecasting,Businesses,Economic Indicators,Forecasting,Businesses,Business & Economics (Intl),"Country Forecasts present and explain the Economist Intelligence Unit's five-year macroeconomic projections for 60 of the world's largest economies. They also provide an in-depth medium-term political and policy outlook, as well as forward-looking assessments of the business environment."
dataServices043,DataServices,EIU Market Indicators and Forecasts,https://arch.library.nyu.edu/databases/proxy/NYU02714,Demographics,Economic Indicators,Business Risk,,Businesses,Risk,Business & Economics (Intl),"Demographics, consumption, average wages, income levels, market size, infrastructure and the business environment data on 60 key countries worldwide. Contains over 500 series stretching back to 1990 and forward five years."
dataServices044,DataServices,eMarketer,http://www.emarketer.com/Extranet.aspx?nyu,Market Analysis,International Marketing,,,,,Business & Economics (Intl),"Data and analysis on the latest e-business, internet, and technology trends."
dataServices045,DataServices,Equal Employment Opportunity Files,http://www.census.gov/hhes/www/eeoindex/eeoindex.html,Education,Occupation,,employment discrimination,racial discrimination,gender discrimination,Area & Cultural Studies,"Special tabulation for states, places, and counties or county groups of 50,000+; Detailed occupation by sex and race tabulated for workplaces and residences; Educational attainment by sex, race and age."
dataServices046,DataServices,Eurobarometer (The European Union),http://ec.europa.eu/public_opinion/index_en.htm,Europe,Public Opinion,,,,,Policy & Political Science,"Euro barometer includes results of surveys and studies by the European Commission, begun in 1973, which address major topics concerning European citizenship: enlargement, social situation, health, culture, information technology, environment, the Euro, defense, etc."
dataServices047,DataServices,Eurostat,http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home,Europe,,,,,,Area & Cultural Studies,"Eurostat data covers the European Union, its Member States and its partners, and are published under a variety of Themes and Collections."
dataServices048,DataServices,Fast Facts about Education,http://nces.ed.gov/fastfacts/,Education,,,,,,Education,"Quick statistical information on a variety of US education topics, with links to supporting studies. Updated regularly."
dataServices049,DataServices,Federal Reserve Economic Data - FRED,http://research.stlouisfed.org/fred2/,Economic,,,,,,Business & Economics (US),"FRED (Federal Reserve Economic Data) is a database of over 15,000 US economic time series. "
dataServices050,DataServices,FedStats,http://www.fedstats.gov/,Government Statistics,,,,,,Policy & Political Science,"Lists detailed information and provides links to more than 100 different federal statistical agencies. Searchable via a search engine, by lists of data generating agencies or by their data, via a ""reference shelf,"" by geographical and map searches, and by a list of data extraction engines. The site also lists contacts at the various agencies."
dataServices051,DataServices,UNESCO Institute for Statistics: Financing Education - Investments and Returns,http://www.uis.unesco.org/ev.php?URL_ID=5245&URL_DO=DO_TOPIC&URL_SECTION=201,Education,International Education,,,,,Education,Financing Education - Investments and Returns is the third in a series of reports that analyze education indicators developed through the World Education Indicators Programme (WEI). This report looks at the impact of human capital on economic growth and examines education spending and investment strategies from both public and private perspectives.
dataServices052,DataServices,GenderStats,"http://web.worldbank.org/WBSITE/EXTERNAL/TOPICS/EXTGENDER/EXTANATOOLS/EXTSTATINDDATA/EXTGENDERSTATS/0,,contentMDK:21347401~menuPK:4851945~pagePK:64168427~piPK:64168435~theSitePK:3237336,00.html",Education,Gender Studies,Health,,,,Area & Cultural Studies,"National-level statistical data from The World Bank on poverty, education, health, labor force, and political participation broken down by gender; approach data by country and then theme or via the country profiles."
dataServices053,DataServices,Geodata.gov: U.S. Maps and Data,http://gos2.geodata.gov/wps/portal/gos/kcxml/04_Sj9SPykssy0xPLMnMz0vM0Y_QjzKL9443cnIFSYGYfpb6kehCFgghb31fj_zcVP0A_YLc0IhyR0VFABDAZM0!/delta/base64xml/L3dJdyEvUUd3QndNQSEvNElVRS82X0tfVlFQ,GIS,,,,,,Geographic Information Systems,"geodata.gov is a geographic information system (GIS) portal, also known as the Geospatial One-Stop (GOS), that serves as a public gateway for improving access to geospatial information and data under the Geospatial One-Stop E-Government initiative. Geospatial One-Stop is one of 24 E-Government initiatives sponsored by the Federal Office of Management and Budget (OMB) to enhance government efficiency and to improve citizen services."
dataServices054,DataServices,Global Development Finance,http://ddp-ext.worldbank.org/ext/DDPQQ/member.do?method=getMembers&userid=1&queryId=5,Developing Countries,Economic Indicators,Debt,,Debt,Economic Indicators,Business & Economics (Intl),Data from The World Bank provides developments in international lending to developing countries and external debt tables for over 100 countries. Analysis and commentary is also provided.
dataServices055,DataServices,Global Education Database,http://ged.eads.usaidallnet.gov/,Education,,,,,,Education,Includes data from the UNESCO Institute of Statistics and USAID's Demographic & Health Surveys.
dataServices057,DataServices,Global Financial Data,https://arch.library.nyu.edu/databases/proxy/NYU02515,Economic Indicators,Financial Markets,Securities,Securities,Finance,Economic Indicators,Business & Economics (Intl),"20,000 historical and current data series on global finance topics."
dataServices058,DataServices,Global Health Topics,http://www.globalhealth.gov/topics/index.html,Health,Public Health,,,,,"Health, Nursing & Nutrition",A portal from the US Department of Health and Human Services to research resources related to international health topics.
dataServices059,DataServices,Global Market Information Database,https://ezproxy.library.nyu.edu/login?url=http://library.nyu.edu/restricted/collections/#gmid,Consumers,demographics,marketing,Marketing,Consumers,Demoraphics,Business & Economics (Intl),"GMID (Euromonitor) includes 28 years of market statistics from dozens of global industries. Includes market size, country marketing parameters and forecasting data. **NYU NetID and Password required."
dataServices060,DataServices,Head Start Program Fact Sheets,http://www.acf.hhs.gov/programs/ohs/about/index.html#factsheet,Education,,,,,,Education,"Head Start budget, enrollment, demographic and program figures are presented in tables for the past five years."
dataServices061,DataServices,U.S. Department of Health and Human Services,http://www.hhs.gov,Health,Social Services,,,,,"Health, Nursing & Nutrition","Portal to information related to families and children, health and social services, provided by a family of federal agencies."
dataServices062,DataServices,"Historical Statistics of the United States, Colonial Times to 1970",https://arch.library.nyu.edu/databases/proxy/NYU02524,Economic Indicators,Population,Income,,,,Business & Economics (US),"Demographic, social and economic statistical series from the inception of each statistical measure to 1970. General explanations and historical notes are given at the beginning of each chapter."
dataServices063,DataServices,Integrated Public Use Microdata Series (IPUMS),http://www.ipums.umn.edu/,Population,,,,,,Population & Demography,"The three major data infrastructure projects of the Minnesota Population center include:  IPUMS-International; an integrated series of census microdata samples from 1960 to the present; IPUMS-USA, an integrated series of representative samples drawn from the U.S. censuses of the period from 1850 to 2000; and IPUMS-USA, which also includes American Community Survey (ACS) data from 2000 to 2005. IPUMS-CPS provides integrated data and documentation from the March Current Population Survey (CPS) from 1962 to 2006. Other datasets include the North Atlantic Population Project, the National Historical Geographic Information System, and the Integrated Health Interview Series."
dataServices064,DataServices,Inter-University Consortium for Political and Social Research (ICPSR),http://www.icpsr.umich.edu/,Data Archive,,,,,,Data Archives,"ICPSR contains the largest collection of social science data available.  The topics covered are innumerable and data can be both quantitative or qualitative in nature.  Special data archives include ""Census 2000 at ICPSR,"" ""Child Care and Early Education Research Connections,"" ""Election 2000 at ICPSR,"" ""Health and Medical Care Archive,"" ""Homicide Research Working Group,"" ""International Archive of Education Data,"" ""National Archive of Computerized Data on Aging,"" ""National Archive of Criminal Justice Data,"" ""Project on Human Development in Chicago Neighborhoods,"" and ""Substance Abuse & Mental Health Data Archive."" NYU users should create a MyData account using their NYU email address to download data sets."
dataServices065,DataServices,International Archive of Education Data,http://www.icpsr.umich.edu/IAED/,Education,,,,,,Education,"The Archive acquires, processes, documents, and disseminates data collected by national, state or provincial, local, and private organizations, pertaining to all levels of education in countries for which data can be made available.  Data files, documentation, and reports are downloadable from the website in public-use format. The website features an online data analysis system (DAS) that allows users to conduct analyses on selected datasets within the Archive."
dataServices068,DataServices,International Comparisons in Education,http://nces.ed.gov/surveys/international/,Education,,,,,,Education,"Reports, data bases, studies and speeches on educational achievement in participating studies. Subjects include math, reading, science, civic education, and adult literacy."
dataServices069,DataServices,"International Education Indicators: A Time Series Perspective, 1985-1995 (PDF)",http://nces.ed.gov/pubs2000/2000021.pdf,Education,International Education,,,,,Education,"International Education Indicators: A Time Series Perspective, 1985-1995 compares educational trends in economically developed countries over time. The countries examined in this report are members of the Organization for Economic Co-operation and Development (OECD), an organization of 29 countries dedicated to promoting economic growth and development around the world. This report extends the earlier National Center for Education Statistics (NCES) publication International Education Indicators: A Time Series Perspective from a seven-to an 11-year time series to provide a more comprehensive picture of continuity and change in countries' education systems."
dataServices070,DataServices,International Financial Statistics Online,https://arch.library.nyu.edu/databases/proxy/NYU02545,Economic Indicators,,,Economic Indicators,,,Business & Economics (Intl),"Major economic aggregates used in the analysis of economic developments, including data such as production and prices. Selected series are compiled into world tables making for easier comparability."
dataServices071,DataServices,International Social Survey Programme,http://www.issp.org/data.shtml,Demographics,,,public opinion,,,Population & Demography,"A collection of surveys including subjects such as government, citizenship, national identity, social relationships, family, and environment, coordinated cross-nationally."
dataServices073,DataServices,International Trade Statistics Yearbook,http://unstats.un.org/unsd/trade/default.htm,International Marketing,Nation Data,Trade,,,,Business & Economics (Intl),"Volume 1 by country, volume 2 by commodity. Amounts and values of exports and imports by commodity and country. Uses SITC (Statistics of International Trade in Services) codes."
dataServices074,DataServices,iPOLL,http://roperweb.ropercenter.uconn.edu/cgi-bin/hsrun.exe/Roperweb/iPOLL/iPOLL.htx;start=HS_iPOLL_LoginSetup,Public Opinion,,,,,,Policy & Political Science,"iPOLL Databank, from the Roper Center for Public Opinion Research, contains half a million survey questions and answers asked in the US over the last 65 years by more than 150 survey organizations. Registration required."
dataServices075,DataServices,ISI Emerging Markets,https://ezproxy.library.nyu.edu/login?url=http://site.securities.com,Industry,Economic Indicators,Developing Countries,Economic Indicators,Industry,Developing Countries,Business & Economics (Intl),"Financial information, news and business intelligence for 25 emerging countries. Coverage includes company profiles, financial statements and earnings estimates, analyst reports for companies and industries, current and historical market information, economic statistics and forecasts, and current news."
dataServices076,DataServices,Islamic Finance Information Service (IFIS),http://site.securities.com/ifis/,Sharia,Financial Markets,Middle East,Banking,Finance,Islamic Law,Business & Economics (Intl),"IFIS focuses exclusively on the developments in the Islamic financial world. Find information on: Islamic financial Guidelines and legal content from regulatory bodies; League Tables for Islamic bonds, deals & transactions detailing structure of issues, issuers, term sheets and conditions; rankings of the top industry players; database of top global law firms involved in Islamic finance; Shariah rulings, financial market information; current news, events, academic and research papers."
dataServices077,DataServices,JPoll,http://www.ropercenter.uconn.edu/jpoll/home.html,Public Opinion,,,,,,Policy & Political Science,"JPOLL contains more than 10,000 public opinion questions and the respective responses from Japan's major survey research sources. These studies cover social, political, and economic topics throughout the current decade. Users can search for public opinion questions using keywords, topics, dates, and organizations as search criteria. Registration required."
dataServices078,DataServices,Linking Economic Development and Child Care 50 State Database,http://government.cce.cornell.edu/doc/reports/childcare/50state.asp,Education,Child Care,Demograhic Characteristics,,,,Education,"This database provides an overview of all current, national sources of comparative data on the early care and education sector including: child care economic data, demographic data, and early care and education program (policy) data. Thirty one sources are profiled. These include federal census and administrative data, federal survey data, and national organizations that collect or maintain comparative data on children and families or early care and education more generally. The Description of Data Sources provides information on each data source, variables collected, and hotlinks to each organization's web site to access the raw data. We also provide hotlinks to the relevant section in the Cornell Methodology Guide that discusses the issues to consider when using such data in a regional analysis of the economic importance of child care."
dataServices080,DataServices,MarketResearch.com,https://arch.library.nyu.edu/databases/proxy/NYU02697,Market Research,Product Data,,,,,Business & Economics (Intl),Global market research reports and analyses.
dataServices081,DataServices,Maternal and Child Health Bureau,http://mchb.hrsa.gov/data/,Women,Children,Health,pregnancy,mothers,infants,Area & Cultural Studies,Contains the Women's Health Report and Child Health USA.
dataServices082,DataServices,Mergent Online,https://arch.library.nyu.edu/databases/proxy/NYU02377,Company Info,Securities,Finances,Companies,Securities,,Business & Economics (Intl),"Financial filings, summary balance sheets and income statements, corporate histories, long term debt, bond ratings and more, for publicly held companies worldwide."
dataServices083,DataServices,Meridian Online,https://arch.library.nyu.edu/databases/proxy/NYU02379,Stock Indices,Stock Exchanges,Financial Markets,Securities,Finance,,Business & Economics (Intl),"25 years of international stock market information from over 45 stock exchanges, industry sectors and 800 stock indices."
dataServices084,DataServices,Mexican Migration Project,http://mmp.opr.princeton.edu/,Population Migration,Mexico,,migrants,population migration,hispanic americans,Population & Demography,"Contains survey data for 6,000 households in 30 communities in Mexico and the United States surveyed from 1982/1983 to present to study Mexican migration to the United States."
dataServices085,DataServices,Millennium Indicators,http://millenniumindicators.un.org/unsd/mdg/Default.aspx,Education,Poverty,Health,,,,Education,"Official data, definitions, methodologies, and sources for more than 60 indicators to measure progress towards the UN's Millennium Development Goals. Approach data by country and then theme or via the country profiles."
dataServices086,DataServices,Mintel,https://arch.library.nyu.edu/databases/proxy/NYU01175,Market Research,,,,,,Business & Economics (Intl),"As a globally recognized market analyst, Mintel produces some 600 reports into European, UK-specific and US consumer markets every year. Log in required (please contact the Bobst Library reference desk at x2600)."
dataServices087,DataServices,Monthly Labor Review,http://www.bls.gov/opub/mlr/mlrhome.htm,Labor,Employment,Consumer Price Indexes,,,,Business & Economics (US),"Provides descriptions and data on labor statistics covering employment, unemployment, hours, earnings, consumer and producer price indexes, wages and work stoppages."
dataServices088,DataServices,National Accounts,http://titania.sourceoecd.org/vl=1466913/cl=12/nw=1/rpsv/statistic/s18_about.htm?jnlissn=16081188,Economic Indicators,,,Economic Indicators,,,Business & Economics (US),"National accounts including GDP by type of economic activity, and consumption expenditures by type and purpose. Main aggregates and comparative tables for 25 countries."
dataServices089,DataServices,OECD iLibrary - National Accounts Statistics,http://titania.sourceoecd.org/vl=4252041/cl=11/nw=1/rpsv/cgi-bin/jsearch_oecd_stats,Economic Indicators,,,Economic Indicators,,,Business & Economics (Intl),"The most comprehensive source for national accounts statistics; detailed statistics for 168 countries include GDP, private final consumption by type, capital transactions of the nation, general government income and much more. Although it is very detailed, it is very late to be released and is usually several years behind."
dataServices090,DataServices,National Archive of Criminal Justice Data,http://www.icpsr.umich.edu/NACJD/,Criminology,Offenses,Criminal Justice,,,,Policy & Political Science,The primary activities of NACJD are the archiving and distribution of computer-readable crime and justice data collections.
dataServices091,DataServices,National Assessment of Educational Progress,http://nces.ed.gov/nationsreportcard/,Education,,,,,,Education,"Extensive reports on national and state test scores of 4th, 8th, and 12th grade students by various demographic characteristics; separate surveys on science, mathematics, history, geography. A bibliography lists published NAEP documents since 1970."
dataServices092,DataServices,National Association of State Boards of Education State Profiles,http://nasbe.org/index.php/file-repository?func=select&id=67,Education,,,education,educational policy,education expenditures,Education,NASBE is non-profit organization founded to strengthen state leadership in educational policymaking. Statistics for each state are listed.
dataServices093,DataServices,National Atlas,http://www.nationalatlas.gov/,GIS,,,,,,Geographic Information Systems,Online US national government agency data presented as GIS map layers.
dataServices094,DataServices,National Center for Education Statistics,http://nces.ed.gov/surveys/,Education,Statistics,,,,,Education,"National data on schools, enrollment, and outcomes for all levels of education; on-line data is located under two sections of the main menu: Encyclopedia of ED Stats and Survey and Program Areas and includes elementary, secondary, and higher education statistics; library, literacy, and international statistics. Also includes the Schools Staffing Survey and Integrated Post-Secondary Education Survey, codebooks and press releases."
